name,flag,description,source,header,cfg,is_analysis
AMDGPUPostLegalizerCombiner,-amdgpu-postlegalizer-combiner,Combine AMDGPU machine instrs after legalization,lib/Target/AMDGPU/AMDGPUPostLegalizerCombiner.cpp,,False,False
AMDGPUPreLegalizerCombiner,-amdgpu-prelegalizer-combiner,Combine AMDGPU machine instrs before legalization,lib/Target/AMDGPU/AMDGPUPreLegalizerCombiner.cpp,,False,False
AMDGPUPrintfRuntimeBinding,-amdgpu-printf-runtime-binding,AMDGPU Printf lowering,lib/Target/AMDGPU/AMDGPUPrintfRuntimeBinding.cpp,,False,False
AMDGPUPromoteAlloca,-amdgpu-promote-alloca,AMDGPU promote alloca to vector or LDS,lib/Target/AMDGPU/AMDGPUPromoteAlloca.cpp,,False,False
AMDGPUPromoteAllocaToVector,"-""amdgpu-promote-alloca"" -to-vector",AMDGPU promote alloca to vector,lib/Target/AMDGPU/AMDGPUPromoteAlloca.cpp,,False,False
AMDGPUPromoteKernelArguments,-amdgpu-promote-kernel-arguments,AMDGPU Promote Kernel Arguments,lib/Target/AMDGPU/AMDGPUPromoteKernelArguments.cpp,,False,False
AMDGPUPropagateAttributesEarly,-amdgpu-propagate-attributes-early,Early propagate attributes from kernels to functions,lib/Target/AMDGPU/AMDGPUPropagateAttributes.cpp,,False,False
AMDGPUPropagateAttributesLate,-amdgpu-propagate-attributes-late,Late propagate attributes from kernels to functions,lib/Target/AMDGPU/AMDGPUPropagateAttributes.cpp,,False,False
AMDGPURegBankCombiner,-amdgpu-regbank-combiner,Combine AMDGPU machine instrs after regbankselect,lib/Target/AMDGPU/AMDGPURegBankCombiner.cpp,,False,False
AMDGPUReleaseVGPRs,-release-vgprs,Release VGPRs,lib/Target/AMDGPU/AMDGPUReleaseVGPRs.cpp,,False,False
AMDGPUReplaceLDSUseWithPointer,-amdgpu-replace-lds-use-with-pointer,Replace within non-kernel function use of LDS with pointer,lib/Target/AMDGPU/AMDGPUReplaceLDSUseWithPointer.cpp,,False,False
AMDGPUResourceUsageAnalysis,-amdgpu-resource-usage,Function register usage analysis,lib/Target/AMDGPU/AMDGPUResourceUsageAnalysis.cpp,,True,True
AMDGPURewriteOutArguments,-amdgpu-rewrite-out-arguments,AMDGPU Rewrite Out Arguments,lib/Target/AMDGPU/AMDGPURewriteOutArguments.cpp,,False,False
AMDGPURewriteUndefForPHI,-amdgpu-rewrite-undef-for-phi,Rewrite undef for PHI,lib/Target/AMDGPU/AMDGPURewriteUndefForPHI.cpp,,False,False
AMDGPUSetWavePriority,-amdgpu-set-wave-priority,Set wave priority,lib/Target/AMDGPU/AMDGPUSetWavePriority.cpp,,False,False
AMDGPUSimplifyLibCalls,-amdgpu-simplifylib,Simplify well-known AMD library calls,lib/Target/AMDGPU/AMDGPULibCalls.cpp,,False,False
AMDGPUUnifyDivergentExitNodes,-amdgpu-unify-divergent-exit-nodes,Unify divergent function exit nodes,lib/Target/AMDGPU/AMDGPUUnifyDivergentExitNodes.cpp,,False,False
AMDGPUUnifyMetadata,-amdgpu-unify-metadata,Unify multiple OpenCL metadata due to linking,lib/Target/AMDGPU/AMDGPUUnifyMetadata.cpp,,False,False
AMDGPUUseNativeCalls,-amdgpu-usenative,Replace builtin math calls with that native versions.,lib/Target/AMDGPU/AMDGPULibCalls.cpp,,False,False
ARCBranchFinalize,-arc-branch-finalize,ARC finalize branches,lib/Target/ARC/ARCBranchFinalize.cpp,,False,False
ARCDAGToDAGISel,-arc-isel,ARC DAG->DAG Pattern Instruction Selection,lib/Target/ARC/ARCISelDAGToDAG.cpp,,False,False
ARCOptAddrMode,-arc-addr-mode,ARC load/store address mode,lib/Target/ARC/ARCOptAddrMode.cpp,,False,False
ARMBlockPlacement,-arm-block-placement,ARM block placement,lib/Target/ARM/ARMBlockPlacement.cpp,,False,False
ARMBranchTargets,-arm-branch-targets,ARM Branch Targets,lib/Target/ARM/ARMBranchTargets.cpp,,False,False
ARMConstantIslands,-arm-cp-islands,ARM constant island placement and branch shortening pass,lib/Target/ARM/ARMConstantIslandPass.cpp,,False,False
ARMDAGToDAGISel,-arm-isel,ARM Instruction Selection,lib/Target/ARM/ARMISelDAGToDAG.cpp,,False,False
ARMExecutionDomainFix,-arm-execution-domain-fix,ARM Execution Domain Fix,lib/Target/ARM/ARMTargetMachine.cpp,,False,False
ARMExpandPseudo,-arm-pseudo,ARM pseudo instruction expansion pass,lib/Target/ARM/ARMExpandPseudoInsts.cpp,,False,False
ARMFixCortexA57AES1742098,-arm-fix-cortex-a57-aes-1742098,ARM fix for Cortex-A57 AES Erratum 1742098,lib/Target/ARM/ARMFixCortexA57AES1742098Pass.cpp,,False,False
ARMLoadStoreOpt,-arm-ldst-opt,ARM load / store optimization pass,lib/Target/ARM/ARMLoadStoreOptimizer.cpp,,False,False
ARMLowOverheadLoops,-arm-low-overhead-loops,ARM Low Overhead Loops pass,lib/Target/ARM/ARMLowOverheadLoops.cpp,,False,False
ARMParallelDSP,-arm-parallel-dsp,Transform functions to use DSP intrinsics,lib/Target/ARM/ARMParallelDSP.cpp,,False,False
ARMPreAllocLoadStoreOpt,-arm-prera-ldst-opt,ARM pre- register allocation load / store optimization pass,lib/Target/ARM/ARMLoadStoreOptimizer.cpp,,False,False
ARMSLSHardening,-arm-sls-hardening,ARM sls hardening pass,lib/Target/ARM/ARMSLSHardening.cpp,,False,False
AVRDAGToDAGISel,-avr-isel,AVR DAG->DAG Instruction Selection,lib/Target/AVR/AVRISelDAGToDAG.cpp,,False,False
AVRExpandPseudo,-avr-expand-pseudo,AVR pseudo instruction expansion pass,lib/Target/AVR/AVRExpandPseudoInsts.cpp,,False,False
AVRShiftExpand,-avr-shift-expand,AVR Shift Expansion,lib/Target/AVR/AVRShiftExpand.cpp,,False,False
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,,False,False
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,,False,False
Annotation2MetadataLegacy,-annotation2metadata,Annotation2Metadata,lib/Transforms/IPO/Annotation2Metadata.cpp,,False,False
AssignmentTrackingAnalysis,-debug-ata,Assignment Tracking Analysis,lib/CodeGen/AssignmentTrackingAnalysis.cpp,,False,True
AssumeBuilderPassLegacyPass,-assume-builder,Assume Builder,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AssumeSimplifyPassLegacyPass,-assume-simplify,Assume Simplify,lib/Transforms/Utils/AssumeBundleBuilder.cpp,,False,False
AssumptionCacheTracker,-assumption-cache-tracker,Assumption Cache Tracker,lib/Analysis/AssumptionCache.cpp,,False,True
AtomicExpand,-atomic-expand,Expand Atomic instructions,lib/CodeGen/AtomicExpandPass.cpp,,False,False
AttributorCGSCCLegacyPass,-attributor-cgscc,Deduce and propagate attributes (CGSCC pass),lib/Transforms/IPO/Attributor.cpp,,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,,False,False
BPFAbstractMemberAccessLegacyPass,-bpf-abstract-member-access,BPF Abstract Member Access,lib/Target/BPF/BPFAbstractMemberAccess.cpp,,False,False
BPFAdjustOpt,-bpf-adjust-opt,BPF Adjust Optimization,lib/Target/BPF/BPFAdjustOpt.cpp,,False,False
BPFCheckAndAdjustIR,-bpf-check-and-opt-ir,BPF Check And Adjust IR,lib/Target/BPF/BPFCheckAndAdjustIR.cpp,,False,False
BPFDAGToDAGISel,-bpf-isel,BPF DAG->DAG Pattern Instruction Selection,lib/Target/BPF/BPFISelDAGToDAG.cpp,,False,False
BPFIRPeephole,-bpf-ir-peephole,BPF IR Peephole,lib/Target/BPF/BPFIRPeephole.cpp,,False,False
BPFMIPeephole,-bpf-mi-zext-elim,BPF MachineSSA Peephole Optimization For ZEXT Eliminate,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMIPeepholeTruncElim,-bpf-mi-trunc-elim,BPF MachineSSA Peephole Optimization For TRUNC Eliminate,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMIPreEmitChecking,-bpf-mi-pemit-checking,BPF PreEmit Checking,lib/Target/BPF/BPFMIChecking.cpp,,False,False
BPFMIPreEmitPeephole,-bpf-mi-pemit-peephole,BPF PreEmit Peephole Optimization,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMISimplifyPatchable,-bpf-mi-simplify-patchable,BPF PreEmit SimplifyPatchable,lib/Target/BPF/BPFMISimplifyPatchable.cpp,,False,False
BPFPreserveDIType,-bpf-preserve-di-type,BPF Preserve Debuginfo Type,lib/Target/BPF/BPFPreserveDIType.cpp,,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BasicAAWrapperPass,-basic-aa,Basic Alias Analysis (stateless AA impl),lib/Analysis/BasicAliasAnalysis.cpp,,True,True
BasicBlockSections,-bbsections-prepare,"Prepares for basic block sections, by splitting functions "" ""into clusters of basic blocks.",lib/CodeGen/BasicBlockSections.cpp,,False,False
BasicBlockSectionsProfileReader,-bbsections-profile-reader,Reads and parses a basic block sections profile.,lib/CodeGen/BasicBlockSectionsProfileReader.cpp,,False,False
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,,False,False
BlockFrequencyInfoWrapperPass,-block-freq,Block Frequency Analysis,lib/Analysis/BlockFrequencyInfo.cpp,,True,True
